Overall_Score,Property_Rights,Judicial_Effectiveness,Government_Integrity,Tax_Burden,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Continent,Investment_Freedom,Financial_Freedom,Legislation_Violence,Government_Spending,Name
55.6,47.8,52.1,36.4,91.8,60.3,67.3,49.2,68.5,73.6,Asia,25,30,1,64.6,Tajikistan
60.2,35.4,41.4,33.2,80.5,85.2,46.6,66.2,70.4,67.8,Africa,55,50,0,90.3,Tanzania
68.3,53.7,45.9,36.4,81.3,96.5,82.5,63.9,75.2,83,Asia,55,60,1,85.8,Thailand 
62.9,42.2,46.9,43.7,97.3,65.7,68.5,67.5,78.1,47.8,Central America,50,60,1,86.8,The Bahamas
52.4,39.9,42.5,41.2,74.3,0,54,67.4,62.4,61.6,Africa,65,50,1,70.7,The Gambia
44.2,29.7,13.1,32.1,96.3,20,60.5,58.8,79.5,75,Asia,45,20,1,0.9,Timor-Leste
50.3,35.5,29.6,28.1,67.8,24.5,50.4,46.7,79.1,69.4,Africa,65,30,0,77,Togo
57.7,59.2,26.6,38.1,85.5,93.4,75.3,69.9,69.4,73.6,Oceania,40,20,1,40.9,Tonga
57,52.3,40.6,32.9,82.3,16.6,67.8,75.6,75.1,68.4,South America,60,50,1,61.9,Trinidad and Tobago
55.4,49.2,42.7,36.6,74.4,37.9,76.7,50.3,76,71.4,Africa,45,30,0,74.4,Tunisia
64.6,55.8,49.8,41.2,76.4,92.2,66,49.2,70,79.6,Middle East,70,60,1,65.1,Turkey
48.4,31.6,29.8,20.3,95.9,92.3,30,20,73.4,76,Asia,10,10,1,92,Turkmenistan
59.7,42.2,38.5,25.4,73.3,68.6,46.3,83.2,80.1,75.4,Africa,55,40,1,88.7,Uganda
52.3,43.9,31.5,29.6,81.8,82.6,66.1,46.7,58.6,75,Europe,35,30,1,46.9,Ukraine
77.6,81.8,87.1,78.8,99.2,88.9,79.9,81.1,80.9,84.4,Middle East,40,60,0,68.8,United Arab Emirates
78.9,92.3,85.9,83.8,64.7,68.6,92.9,73.5,81.2,86,Europe,90,80,1,48.2,United Kingdom
76.8,79.3,78.6,77.4,75.1,53.1,83.8,89.4,76.6,86.6,North America,85,80,1,57.1,United States
68.6,68.3,58.9,69.2,77.2,69.9,74.3,71.9,72.9,78.6,South America,85,30,1,67.5,Uruguay 
53.3,49.8,34.3,25.2,91.3,98.7,72.5,58.7,58.9,62.6,Asia,10,10,0,67.4,Uzbekistan
56.4,65.9,36.4,51.9,97.3,15.3,52.4,58.8,75,64.4,Oceania,65,40,1,54.1,Vanuatu
25.9,7.6,13.1,7.9,74.7,17.6,33.9,28,0,60,South America,0,10,0,58.1,Venezuela 
55.3,49.8,40.3,34,79.7,40.7,63.5,62.8,68.9,79.2,Asia,30,40,1,74.1,Vietnam
53.6,45,35.6,32.3,72.3,12.3,71.1,46,70.3,72.6,Africa,55,50,1,80.1,Zambia
40.4,29.7,24.8,15.8,62.3,23.7,33.4,43.3,72.4,70,Africa,25,10,1,74.5,Zimbabwe
